video_id,author,comment,published_at
6trY1WoTE2s,@Xiang5wFtH,"Berkat A 𝐄 R О 𝟾 8 saya berubah, dari petani kecil jadi pemilik agribisnis. 🏸",2025-05-02T10:30:33Z
6trY1WoTE2s,@FelieSantika,bang bahas ijazah palsu pejabat negara,2025-05-02T10:30:14Z
6trY1WoTE2s,@who_am_i-ID,"Kenapa kita import barang mentah sumber daya alam
Kenapa kita g bikin langsung produk 
Why oh why😢
Padahal kalo produksi barang bisa untung lebih gede",2025-05-02T10:29:50Z
6trY1WoTE2s,@indraputraCS,Gw kurang paham ekonomi tapi yg dimana barang China emang murah kyk hp Xiaomi deh meskipun baju celana doang yg bakal meresahkan,2025-05-02T10:28:56Z
6trY1WoTE2s,@3kb04_aliefakbar4,Bener banget bang. Temen temen aku banyak yang pakai HP buatan cina tapi ternyata kuat dan tahan banting. Ngak kalah sama kayak Samsung,2025-05-02T10:28:51Z
6trY1WoTE2s,@hendrowaskito7889,Dulu Amerika & uni soviet = Perang dingin. Sekarang Amerika & China = Perang dagang.,2025-05-02T10:27:49Z
6trY1WoTE2s,@thebeatles7291,"Bersama prabowo gibran indonesia cemas😂😂,yg penting goyang gemoy dulu rakyat mokad prabowo gibran beserta jajaran party😂😂😂😂",2025-05-02T10:26:53Z
6trY1WoTE2s,@nurhdi666,"Untung Indonesia udh sedia payung sebelum hujan... Hilirisasi Indonesia ada koentji Indonesia gak tergantung mereka, sebaliknya mereka yg akn tergantung kita. Iya gak sih.. Hahaha.",2025-05-02T10:25:59Z
6trY1WoTE2s,@trickymusic2136,"2030 Indonesia Bubar
Kata Wowo",2025-05-02T10:23:24Z
6trY1WoTE2s,@dapurtnr,Komen ke 60 bang,2025-05-02T10:21:16Z
6trY1WoTE2s,@HariyantoGamer,"1:05 Bang, gambar lu di menit itu Timor Leste gak diajak kah? 😂😂",2025-05-02T10:20:59Z
6trY1WoTE2s,@abdurrasyid2621,"Lama-lama bisa perang fisik juga nanti, antara US vs china & asean, ngomong ngomong perang fisik, tim tag nya Amerika negara mana saja ya???? 😂😂😂😂😂",2025-05-02T10:20:51Z
